2021-06-27 20:01:00
Total vote address: 487
Vote >= 2 USDC: 336 address
Top No.100 Vote: 2.21 USDC, Address: GKqX9waUeZBgwPW5nGiUeXc6B68wgy3mGeexGEDF8pL5
['BM9kpK5yW1EEaQHeWyWqiRTp7U89rKEhsxLC6KX31TR4', 2.1]
['4QBUiwQhZNSytpFBhQZDNkoQ3RLN3LdUPXpiHt4Y79YX', 2.1]
['GBUw35dhqxDQKjfFAgbug7Wkk9Q3RCE3feuqiprxAXh', 2.1]
['CP8uhFrz5NppYT6fJaZrA5ej8ksMKKDgyWwqZNhKwJQk', 2.1]
['EwVUkwp5DrmbCxqp2DaoZ4sXRATtfzdLCUqyUFHPLp6w', 2.1]
['FeEmMVEjVirG9JWkiaNdCuwDGUVReUZQeyhF73tyTLoF', 2.0229999999999997]
['256gVmWp7F7fMc8w76Yi8k2tWPWyLyh6P4RyVR2bs2gJ', 2.0227999999999997]
['F5WWmkZmR1Tz2HeRobQDWXP3dMWNcPf4KVftRuZheo7y', 2.02]
['28wBndYJRG6fZB1Yt8TsEFe5XucQWL77b1yazc3B82cv', 2.02]
['4yTEX3CJ9AK8MRm4caKsEm46uahUe5xAhnrHcMeHctbV', 2.02]
['6qaLNGLS4dkpqWSJQGVW7aYa92QVYJbN1ySMom2WeHbY', 2.01]
['G7SehKUnp1B8hfBtn2Jyf8Epqwn4GvP5LigSjgVzvthV', 2.01]
['HQNCWQfZR6zggw8taHqrGxh3bjZU5XvgwvQnYJK5SvPA', 2.01]
['E35g1HaLurUCXMmwZzThu28qHvG4p1FVaePUMM1u2fBa', 2.001]
['EuD11VZ5yUtCmUStpf9P8EYWegDBcrJr9JFmpVUrbHHF', 2.0]
['4UZ7dR8ppdJod953dxE8fyd5Qb6vmuh37nf8DT3XQaqu', 2.0]
['FZCpXiLspVMAs8xcArUmVNmhi5Cm5Ab6t9jtcSQNUFxk', 2.0]
['Fb4fxnuohWawKK78cEjHMLXcBEnL98fMDFbDNeV9LdY1', 2.0]
['9oHCB4yE18Xg5n3xiniFU5E2W7m9wpFxTb3P6KfJWRu9', 2.0]
['DVvCe2y84ikHqC9PF4q8yBwWQGqMHWR1A3jEDeoiythq', 2.0]
['2DTvT8Qt7mQ5Y2XeLZ2ovfoHTmSD7kv6ZnRz1zNSxiR4', 2.0]
['5p2PMiwrosLKhjFjKejjrVewT1TNzmYN6qhFo32dgDC4', 2.0]
['GDchQV3RrU6TpkrKuvNjeei4ZBB7bUrKXUojfCk7wKCd', 2.0]
['BLz15q1HDg5tej3gfGnPBD8N4duqK18N7kEoLbnygWan', 2.0]
['7FFG2QroSt9dEtxAV3onzMjtXLHRRdra1SsN917ep3G5', 2.0]
['5NLmLcqYE5x3kaLDAWWyrXpcjcSGzLcJRW6wNECQLK3x', 2.0]
['Dki29q7CxMiZYc36pq39jY7ioeVDgrDyh7uvaznxyCMQ', 2.0]
['79aPZ292SHmWkdRUdWeC2eg6Kzx3PdB1uAMfZeWbn3i2', 2.0]
['DUgFXjaC7xAtFkGR1GcVA41gm3jNRhsVi1u6kPjbpCcA', 2.0]
['5yyQ24M8mBr2aGjw2rcoq4FQXMisqDcrWVz6i9MuR4S1', 2.0]
['BsHrdXWQKEyQYALEgPW182ud42uJpzeCRCJECtRSPzsK', 2.0]
['EMyyf3JmPrNa6wwA8E8q5Lo3wfJtKCNr5KFQY3fE9psJ', 2.0]
['14LsLGDuVux32Zmhwz8YJeJTJW2G87nDf9sM4qqLFWWv', 2.0]
['HS2Yq2csFEwqQU5Lbc9hhcirgzmwMz1WVkXHsemU9vYa', 2.0]
['DdcKK7MFFJHoJwsa8fGXpbw22gxbgKHcywdEh5fZcYf3', 2.0]
['4BsiYCGZoo9HXfEQiLyrGLkqUJK4DYsXiJEVRRVfZbdf', 2.0]
['552q1wBXc16BgTE9vM4HseTUUMGAV93qszsGTmQPEfC7', 2.0]
['28VeG1ERGKQXS4BUr6WaQYF2CKJi65ZmdnWa7MR8EjVg', 2.0]
['BsXX7cy1TKfXpMvuGs1cVzfhEZ8SJXsT8sV76ET2eyAF', 2.0]
['5EMCsmeuX8oa8uXpMUFP4bakESKt2DbN36pQ7qUhCpqL', 2.0]
['72wagyq4s5kgMehsAYwsJE213TbXtn3wXU5snBZnFdzz', 2.0]
['Hkpx2TtnZXFvJ9PryhAJwuGNs11AxJG5e1uj8t3WTJyY', 2.0]
['6UkyTrRAmPArMyFAJCuGpBgRNhmuLeuqjFvLvchZGrFE', 2.0]
['CcXXoRjhaoRX2KJMRVkLUkMpzV3ZZVqwbvTtosYgePAQ', 2.0]
['5zbz8LBxjpX1GARWNSEcvESCNveDxD36djVQUKvdCXRA', 2.0]
['4VG2w6mZux2BuHXiGGtFb1tgiudqK1xZVUvwCMnFiie4', 2.0]
['5k3YyajAuyDGbLZpeBd1FTrP1EEUWbKtnx7uvAeNoU2H', 2.0]
['Atmun2VuTWsMdijKwKZ1UwrxgW8hmMcoYQXY1J1etQ2w', 2.0]
['6EQoJ3vLnfSmRnEuMCjE9cJKz9S7bB2UqHtbJWQBcqox', 2.0]
['HWjuUSLmPmiUYJHs2AH1nr9JZH7vcPhqQpDa6KBVA2fS', 2.0]
['HYavCz4qzPM21AyqbJme3MXrLdUX2KjbwsCwcv7zxRaf', 2.0]
['DuyY8e2aMKrsCdpdXGFB2oN5iLLeaHoQnYqYQM85iRoM', 2.0]
['6iuSBmj5hfNezPSy4NxhyyT4JkaA1WQJjKLXrvhjE3JX', 2.0]
['A1sWBQsLnaR3EXP6aPo7NmcoZUtsjSBUvZbku2e53Eza', 2.0]
['EtTF3BgmEGdcrL1s3HLqqXhCsFX2v41JNZrm1aPhQuKx', 2.0]
['Ho1NrYJVaDWx5uf8XJ8aojqk8Y5YqK2pSoRGAzqcBG2j', 2.0]
['5fYndPVWwYWjYo1MqHjFnBb4EHJXzJhuTvK53GznAY3H', 2.0]
['3z2SKS4ZcPiqhoSijC5EXuRZojC2tZuDkh5JEUZ9KbBP', 2.0]
['A3FUJAYn7y8xhULkGFQA5wcuwbxxDyn4GVf1nxXYDBe', 2.0]
['9aHMWhjRbNyNXtZtVtvobwxAc34s7Zy4ASzBwbUtoHT8', 2.0]
['D6snbru1GcirBcEGsmCGXDi4D49Q5V4m2Nwowhop4MsN', 2.0]
['3HA7fqaAT1NtqcPV7wEQV6jFgabaWSHCpqmqZoFUyZXp', 2.0]
['CW1vnRFKh61479iWeyJVbQTjnyxAu9SMF6zr3suUsKwq', 2.0]
['323EmGZwwS5afQSMm8UN2CMYZDpvEx7WLzoNxZL1BatS', 2.0]
['4G6YPhwrredaawFSa7KRX3JjktNZ8NwyUTATQpwE484g', 2.0]
['DHtFuSoGcsH44AxbiwJiCYgMFwirY9dktj2bUCDEBZBu', 2.0]
['ADSoupRqPnCG8NUiKzSgsUF8QyF8dfW8NoZ8tvkyJzfX', 2.0]
['WGLcj2eeXeMZp6nqH7SnfDwT1XtBSbAVhKgB7pG222P', 2.0]
['EAf9x1XZQA1hPwPYr1krFrJEvoPF6zS3z51EKDV3oQpA', 2.0]
['2qPJHa3KUVvo277Jk597kPdKZEUfk5RkQVm3PrMSb942', 2.0]
['BWQjv8wjyoLaMvV5e31ieP68r9fW4hJyfYjqGsLFFs16', 2.0]
['8ctVFKoK93BWAeJvpUTXAhcoJ8vcrP1ZMPftSrC66EE2', 2.0]
['79LoSP3jkKMndPEqMrzCsf1ktuyApf931uaeay7DnADP', 2.0]
['DnSw4mCWFu8q3ZkS5yrWU3kopnnqpdvGhpYgzeEGx6YC', 2.0]
['GvFtZ8LycyV2JVVVmwQxb3BD17KhGEjJ3rGnHoYjwQaw', 2.0]
['6TtoJLhbRL6ZMMAw7cCJAVvSUXd8exZGBqaQWyKbZTZX', 2.0]
['9D1fME2ohBFkVLRDh4QRxSK2Fc4LzscTnFDNNYNd1wgc', 2.0]
['C2PTkAo2LtMB5USxHBb5MBBbbADBfCWBMFFLBP6K4dsT', 2.0]
['AFUXzq2MqZ5gtgvaTdQNnmoiQWKUGYQyxmnixTBcSLJP', 2.0]
['HMkZQ7aqGqXhdPXpN4xRXg1Z3XBU8QYdVVu6BmqUduQs', 2.0]
['65WRqHHKdrLuyL1Bt52jnBL3uoDEVa8by8wtEXSHnDUU', 2.0]
['8EfEbdTHjcE86hEXgCgmmZjp61ev8qZ73VS1Sn7ZTNnt', 2.0]
['C4TaK5uD77LhL6f9GLu4DdLKPobcfCNLXmKkSjF7xDyV', 2.0]
['7BaH7k4k2RxPCPGJ1UkfZv35PSxHH3MwPjRjCWCXk2d', 2.0]
['G5zazvkLUQAG8n56WspRGBRV3gbcFpmjb6w96nCHbEW2', 2.0]
['7omJChMZLLispA43EP6yVJB5FQqJK6jpeBb4e1heBVbv', 2.0]
['7yTkxLPhZNUem76sqtdjS7gMvENmuQsJa1pLk8kcCgyW', 2.0]
['Yc4NVCL2HjxRFoWLjwNY5dA7pRERriw85kAUYPf5Yb5', 2.0]
['ARVhD7UsVWatKbNfjebsG5wpttsknLxpSbfQgrAedJdk', 2.0]
['CqC44rN3ne8NBGRxRSrRHQBEjaFr2tVBQwKeYGqsFX37', 2.0]
['78WCc9RucM6iNAJ6mLdQTQgd93JJUgrirTjAuf5A1a6m', 2.0]
['BJYqo64Cnwt71dwtYUkpCRK3KpywVY56nNcM4q8LtaYY', 2.0]
['D9kgvsr1BKdL9wMGzxUP8d31M9YdsfDNNSbgsaATKPjv', 2.0]
['9Yd1rYLbCjBnVjgHmfJh6VWCc5PXVXioZTZfw7MDqtNq', 2.0]
['DmsrEf15CJQT9rzKnFwWB2NKwJyBVL9SfeKfWhegbg1H', 2.0]
['92Cy5iwKaUtBFz9iRe1fduu7TqzFZzi3NfHPJPpbWfGS', 2.0]
['CeDMLP7MWzzHm7dzE1vLPKB6T2L7DvBkmYVGrq33jka4', 2.0]
['AQjwvtpgZRSy2dmS9ztGZgbQDu7xM9abrin3wSqKRD1r', 2.0]
['71WzGoswJ5NjcurxeQmZP4DAu3JN4YZ3wBkvaYWhqv7N', 2.0]
['9dfUx49BmZczxeLqCXrULvGP3VSdbXRtYF6dTLyBKCC5', 2.0]
['4kRvjctHeJkWZYExvgVNQ5UT56WaFQ6ARH6bwoVof6Tu', 2.0]
['5wn6CtAuGrLGUc5YvPwnmv7SMLerr2N2hCLnuGAYYUHY', 2.0]
['6C3qhShsxMM4Z3CHEmv5T29ctafwESyhvq1Y3FfUAY6E', 2.0]
['4hf3NNaFUqM2jhmhbxAwvhaPsdjFVuVr4GotmT1e6zJR', 2.0]
['6rtyBD271m8FZCBsHoE2QJKkJaT8gU78dFvw2CFfb633', 2.0]
['71m8HBgUZvBdHprsM1PBnTVVEBZs2ibHmDLJm4HXsxWT', 2.0]
['5HbZ4nvekaPXsQ87keEBr6yvNuybQH8fXQTzApzxXwKK', 2.0]
['Dryh1RXnyu3pYNQAHNpBeZBKeNMafssTYSxSCPzRr64V', 2.0]
['FhcKeMitAG1FSEjjjexZmnHdHNnRfHX8iYs1kFKNzZFU', 2.0]
['5jD1v2tkZ2bNj2GBkhyZgh57wrgzdauumPcVL9xAu54o', 2.0]
['6T9DgFuqagohTfgVQwUxvHMCEsgj2sHRtCdUnW6bqmfd', 2.0]
['2xLF8bJHHJdX2kT2MQ6noALCK2uuNynrDbpxXqaPY9rE', 2.0]
['22jhVt58QSX6HVQUeyziSNKdtCcPHofDF9PKNitWfjv7', 2.0]
['4AktpH7yHsHBRg7AmugTWkYQdBR88FjRyRwTjzsoyPGV', 2.0]
['2jkwEG7ZDBhXnMPQeZmYP4RCR9AwN1S7BLhrhUcfVewn', 2.0]
['HUtGMrDAgedWoWthQB6LSy3KnaL8CkcvaD1TAZoMxiyv', 2.0]
['5YtinMJPM71mzc4hB7QtA1s6g1CpjLVSw9u8UyH3jctj', 2.0]
['14GsLEQBLEGDWB6vHfb8KHvxmo5ZLZXiUWJx5JUxo2HB', 2.0]
['4iqJaWS9m2BLBYbYUg6FvrTyx8fvtBR2ABsnvdjGpfvG', 2.0]
