2021-10-27 13:08:18
Voted address: 17077
Top No.20 voter voted USDC: 30.0
Add up USDC: 29194.170882999708
['GtaRMuoL6qLDqutEXcEmrDzN5QGqJ3bTuFERombzsZVK', 15.0]
['5N4dTLjoXyBfSF4HVhAEfKwBKZD7ZfZZGMrzurTZXrGr', 15.0]
['9tRfyJURVSuX5GiBs8Tj8xA5LqJLj8GFgJrC4nzZAWJ9', 15.0]
['GpsjNfdhmpUBjBD14S9gdvjLSYqtySfPFjAiVerjJSve', 15.0]
['FUVk7wRHMusFvoampU2PoMyZj2SRFt51wSAFq89W11Z7', 15.0]
['myR3bvvTh5TGBY6sP89PK9Y23djK2jtGMkxbQfy4Xw9', 15.0]
['6gVrdZogGnKugkao9ERJYj5cF7DC6BhHMPproEUtoBEM', 15.0]
['86AZWX8Hj5KN53wx1kHtjEUKaA31rpdzdMs4pcZoyzEL', 15.0]
['DE8BcpFrXvaaMD7ujHGYDnAzYPkV239ycFcHYsDvvTAs', 15.0]
['9Hg4EXnBNDawWe48jA4Fabkc1JxMCYoPPVLhDNfKu1es', 15.0]
['BC3axRXESY3X3WQNQK2QpqzmK2Nyn8rxt3fckTZhJDkU', 14.0]
['7hQ9PitVd312t39eMDNWuf5it1f361UWDENj6Hr4Lo3J', 14.0]
['6Tcb79JxzUzLMS9vrxuf9Jg6V1rmL5vjR5HoENaVxGs', 14.0]
['8jDEJz1hwuQMNSaSbvouK9qSczvUF7V3XK1DXe3t3wfF', 14.0]
['9pXWpSSgqxhvHFCYJxpVVDHionGviMmFxrpqTLzV7nT', 13.8]
['GcXPsWpwmM7peYb7mkhR8suMXx9EpYmPRwVZRVsAgQ2K', 13.0]
['D6snbru1GcirBcEGsmCGXDi4D49Q5V4m2Nwowhop4MsN', 13.0]
['DGYtyVC2kMkR6LSU5VckuBHXKsxhcpMoukWwh9LRf7J', 13.0]
['Bf9Udmfm9fdcz6SPdQwStQHo8i15cVmTAEK2DT3gopzD', 13.0]
['7oHh3jwCGdYj5ixiG8bZmARwTwgPmb56MkooNyzFi3mh', 12.1]
['3EpnUyrAXcUC9wnsLWHD6FGtB2FKn8ELWqviwEdcD9U4', 12.0]
['7tmskYN3nAtKmTBXUTGPfVox42E3CWxMb8b6bqfP8vzF', 12.0]
['3sVV1fh8x9NPcHXhw7jzUyu6jyCXWLbe3iug1M8kwUix', 12.0]
['6MMKmah9VN4YHvyskTLevZTUJWqVUQK2CYFX2pLPJDmQ', 12.0]
['CQ8gKoKphYsD13nfpZuRmtjDcEtaBSsjx1s74EvWXNZi', 12.0]
['58CDs8LtHXEhPjxPzU4WmwJw3KvnPLsHbG2H4bRdRhys', 11.5]
['4yyN4rHM51DPLMcFFfdXXN8z69BvyBHqTAfgjZgQcd5X', 11.01]
['85L7w71akWuj27sewxLdm1NtFcbCXv9NcCvsNL64Hq14', 11.0]
['CQr5PWXdMz7yPFjN3sjaQLp1ayUSD4B7az7CNpbqXZcF', 11.0]
['95oEc6irtq75PFod5Ek7MNJDjqEe8kcXvqVvUNmihiFC', 11.0]
['4eRHcUiktb3uQaiSYHgapZWYNkjSGh7nvdzfjsyKqF7D', 11.0]
['C1P9sxD3yN6CvP3LexnHvXbAxcaTqgooviJTMhSr6Avt', 11.0]
['D5C9zBMDdfWpLZdL6ETh4uDY3gyYpsCRJQMnwkwFxKHS', 11.0]
['6ZhMw4xU3LjtgBbC3Y4Szxt2sdLvChCbdKxcR2d5tfKq', 11.0]
['3Pfrmw5arEbvmNkKV1zfvud6sULfwwC44768B7BVPfVP', 11.0]
['42dn7bLGn8bNvMiFkDrBnGauxvEXYBCs1W2ThLf5joP2', 11.0]
['EJTMAaMvkSHxXrhZemZLVSSXxY1G33wzo13MYRLqeiPk', 11.0]
['4GEyeqYNAMQKuLWRvY8mbEXJ4BsWHLsCgnEjCn9TSZJh', 11.0]
['srukkPm4Ho3hsCwuC41vwqVf9rTHTwA4DAbeQwQz9T8', 11.0]
['6rBjRZVUUUupRrYvzb4dvJuAgxvg3KpuXhQBn37gshz6', 11.0]
['E9aDFqixBSSEVmHqCGwoJPdLozDG4Rbk6TRyoW55S7xf', 11.0]
['74mYJoM2ZnqitQ4pgbwTSYi9XeWYRu9AGysZbqkbC4hZ', 11.0]
['5hZzbdKCTAXziYHVBECpo28KdEvVf6aCy25YXFvErwci', 10.9]
['KrissMPQgGFjNJMi1j4MJ9aeuD1REhFgFhJVRDUoKGR', 10.6]
['FcrU9H2CTVhf9YQnnVnSreJTJHUYpRQRHwjAbu9ij8ZN', 10.5616]
['CxvQHCKvPiGKFS211ZHKggxaLkcinWChB2hQ8GaHKVZy', 10.5]
['2PWyhF3nYLqWkoLUnAnXg9v4ypUHTXsWiaGrGA1o1zkM', 10.11326]
['GcHQuekzCBuCVEUFk2B432HjJ1qgZ6R6c4FMxYJjUqL5', 10.0]
['9uX7Lo2HYE4vkezs6T27EzyyQeZtvpz7PmUfAgYyLUF7', 10.0]
['6EvecVXJgqyHJSFTDmDQ9kDrCu2ykJ7BFYZTruXg4dWf', 10.0]
['AcGkLHSMPVHAH5crJQHfPJV35jM5E1HZStvGmvLw8EAJ', 10.0]
['7Sb2rfir31fWQsrcc632C1xQWB3jJ6WZUsK29KHLeBTg', 10.0]
['FaHU8GKvpnxG3wBE689t3hViA8ARFUEUSMMAkrPXqiyX', 10.0]
['FYym9XA8V6dzHUB3eFGbVWFVFKj4KQFmhjHrhxVxZsmC', 10.0]
['F8br7CjQm4Uo7vPEK7Sawp6F5vxcoxp5wedyit1x3EUg', 10.0]
['9odBX3hiSVBG8VYacAPEhqTjVY3aCCpkFz2RiFaRA3uR', 10.0]
['8BbEem3y9YmTw7PXp6HHqfMbmbtsxranehGUiEYEerCk', 10.0]
['5PcgnBdipiHovh3Y5M29pniZr7jVqoF7CFBrkC21h5if', 10.0]
['Cn5QRpbrxvEhofkGavLuTKpSH5fF2NAPVBaHX8GLditf', 10.0]
['6VFZgh1h3hfwAJeT6w6pR4A2otZP9d7ZW5sYV1Mhxm57', 10.0]
['3WWaoAnxma1NVfovPTDZMAUGB1oHpZyPQENJYwQdWX5T', 10.0]
['GKoSPR52RLnNcLFoymvKLGd4VVJbbTQL1LCt5LSYgCns', 10.0]
['FZKXtXmHw6BVJZxjGWNVi7m1rT7R12xPYgCyL58zBMBg', 10.0]
['Rterbfji48Z89Dv6gJB3jkHvMthsjyFpyDZzxfoFLdM', 10.0]
['BFkUKWrYxUJtzJabLtezGWNdvBYXg74QPKheFATDb7Fc', 10.0]
['6U98NH45UxmXmBVD2tASDUdhZUrkymHj82anFmNykMxU', 10.0]
['3HWmPD5YFLtJLSHhta7J8gm5L1jpwxASUmGfJMYLNykA', 10.0]
['EZq8WX45sY1C2NBJu5AUbHunys1WXr376grB3rkMb9wN', 10.0]
['4EzigP1DaRtuKLdjgoc4or4PHrGSBqqy2D4m7A6oykFR', 10.0]
['9bXRJPwo3BfikfiDGmMtP9UWY2VkPb7KH671cDv2Phw7', 10.0]
['6UewJSoDQQQ8pchU9Hjd75A8mVNzftmVapMfs7hfeYMJ', 10.0]
['HQPAm5vHpytkzvn1zoP3o7LxoYQBvXo2fzSLm3aX3ovn', 10.0]
['H75MphsHmd5NGTjeEkWGzCr289fQ4s4qyGad4ab19sLe', 10.0]
['GVSe4jwiaCnKXNe7dw2ngH3YaMkxidWNZQNVfneuXG6R', 10.0]
['1yWfWHw6ZUgoJa2qUaKnFfogGzg3zpy81HQYnVePxgm', 10.0]
['2tz6dDs6xdzapc6h4Esrm4sHDPD1rskkDW3AVmgPdzMf', 10.0]
['4oWdJamnGgUeQ4iBjhqbgb9DguVrDKHcNQBtSJeeFh8Q', 10.0]
['98ya1KG3ic3BWGubMLjrfaLLCK3Cucy7niPRhbrBbqXw', 10.0]
['5ZCqsdEjxoRSFapYYXLbJpPubeMmp5t4p71zEB6SPZ8d', 10.0]
['Hncc5uCBsMkRh7kcb3ZJxYbhh12CJYJmycyxpmVz7QmA', 10.0]
['6J4DZK1Tqq3FYp8QZyyegNFBPcUE7t9QTzP9sRhhXKJ6', 10.0]
['24YBHE6AWmQuhuibHzsdMkVounW4htT6Lxr2jVhGKrgN', 10.0]
['HpAovt5VmYJbmTL4iLe1P3rZSqZTFfifAAjNuiBKqXec', 10.0]
['J6abCpSWggte1rYkseFw7BbkJNH8FctNyDMkCMbAvQT6', 10.0]
['38Mt9719BGnTbuqz9arybsazFr3BESzLB2VfvjVnna8k', 10.0]
['EJt6qwtL7mQNJiYNPGybthzRDmzSMYVGwv5Ts1nbDYGB', 10.0]
['Hwo1i4SykwW4rzv5L7y4iawghKaUWDjDnX2GGd9Tqyi2', 10.0]
['9pWWzLbZa4XpcfT22MhP4XmPH3BQy5okg3EZuRbWQw8N', 10.0]
['3kX2yTX1TU2RDis9omrnzoBjwiwvr4aSfzwgpb42jZR3', 10.0]
['5C2uG3Ephwh8LTcJvA75kdEqK7K9x7LNk1YbBW2zErEF', 10.0]
['FYDGtdffxFCxsqEe3cUED2xtirN9Nf9boRuAFuGa8R7V', 10.0]
['8mhd8MesazifC1vgPPoTvR5n3V2HEBpd8F4zk1fGrKph', 10.0]
['5Xa4ZA3GMc5NkGBSz5fNC7g5bWVSAt7aTktvQWaPn1jK', 10.0]
['Cy4193zX1b6d6S86QuP3aPUoeLjZoP1RrFiQHPRVixzr', 10.0]
['5xzq3cQ1uYS494buvrWWz6eVQnh3T4KVjjJ1tgwe8GCd', 10.0]
['6YvueYu7jGxBMJvSZ9CEVmcoMVYWrKZVK5V6yyvGKMDr', 10.0]
['FZtSijyFobh9vaxBAAR2A3Ld4K8H1tKDt3VyFb9bSoVT', 10.0]
['8zcM8ckHvfmxu1Y81rchE7tjebiaEaobuWqQoMYDRWYy', 10.0]
['8CkKFSqsExvYKxSiWsYvRF1GCKW5THC9uSNvCg3Ezykj', 10.0]
['56Zv2kLwPHXdo3y6r1YrAzu2W29J42yCmqJRErJqdSKJ', 10.0]
['2fhr2EKwMAJE4avvSLBWETC1RvgF3mCc8dm5adaHVQWv', 10.0]
['45GsT1tLQfWkfXHAWJB9tLr1tVVN5quzirE8Ad8oNqVH', 10.0]
['AFkD53s6YphpSNSua5yypwbW81nHB8e5hECwBKLvk2zu', 10.0]
['43zK9U3ycVTUfU8KD3xXyzAUwwgdiv4Ma8j3Vr8VZh3d', 10.0]
['ASPBFT5BcSkBBfMxrH8ga6nxMRU9dXmzvnJWaqZhSDYc', 10.0]
['3WGeQJxZ9beSSTkc9Ph5vYtpBZCgLWiRZeBPikUnnEei', 10.0]
['8ZC6q85Te3kk56LrGSQJr62vFLXp2MjUJgRgsme2KE1d', 10.0]
['62cQ4LMJQMfYbhNBjhGYC9GDgrx6GLPfucortoh9xt9H', 10.0]
['3Fb1ratwVCFfLtwGWEEpjZZzCob36RTuWvS6SUBPggQE', 10.0]
['8UYVpn51C2mKeAT2HJzxtbNTJDyKFZS8ctEsnGHGrMfT', 10.0]
['HEeWodzod6vuX2gBXXE6KxNEYdWTJau3aTNFDoJWLdc6', 10.0]
['4W2G7d3wcLH3JqUFTAs1ZQEM3UJAoyMyCgnWEXh6fS2o', 10.0]
['4uNs4ef9iqevDVqggz9BN6mcuuLu5ziAVh6wxrJYLd9m', 10.0]
['4FfWqxS9f9bZJvwzHYjLR53M3hPPMpFYSkKKfrrMkE6t', 10.0]
['9NCnSDFDhrSMGr86jmm6m1mrm2y3Kg7SVayWRdPAbZWw', 10.0]
['Gu56PAjmpXPCr5ChJY5kP79VE3hhjKzo3o7aCkrYPgPk', 10.0]
['7SeC1AZ2kz1RNqqjRpHtm15iDwhF2mdbv3FBEVyJGUCU', 10.0]
['FsJy5BJcrkbFGbqHUb5CQMQqAe4acozrX3QyhF4bPzEk', 10.0]
['HxiKndrHzorWjC47ZfuCQuQ6X6B5VY6Q8Tc8WdbHA3Td', 10.0]
['BTGB5dKSjNZ74oTWrwjqhqMMg1FWwagtUSqUNZVSDR4i', 10.0]
['Fuhfs9Nmfum9JbZy38JWQpDdv2tHUW5385PfihTB7Dcj', 10.0]
['8UcHM7B2BnLhonJJ3jCVvKZjw9ZM1CmXjmD6JoVQLr9w', 10.0]
['225Rx5mg7KZBfuxR89g2mH5DDMXnahmDiyfFAGBx825D', 10.0]
['7Aa5rjT7yEXWBBfkYKzuzbCpAer1QbNuDRQbAcKpXcoY', 10.0]
['GoG8vK3EaVuCAUehM1wzDQqYamdzZ434RXrRcJAD41ne', 10.0]
['3SG5kAbqiPcrDeyBcFBctxWcD8fhyzE1AfE6uF9MUkaP', 10.0]
['4jATnQcQuTwTvfL4EvqczFeGSTnAB9zKWysyrJXB1zbs', 10.0]
['BV5EHhku8iiexqFpWKQksG1U2LamUmTKB6Svo8nofKHR', 10.0]
['7BN85sC6oBP2B4iwNzNpDP5tE2CsFFx7Z6vkcJ9UgjyF', 10.0]
['6twJK4kcJDX2m5153m5uFEofzuxE9sfC5bqzQJ5YPDJi', 10.0]
['42YC1bBSV7XMcTFJoMRDMmwem5YVGzxHoJaSRAuN4SPv', 10.0]
['2VQWtsw5MrpwJkGCjLJ2RCRjEL4cmgbjdj7g3sjpgeBj', 10.0]
['EeiQZBHXXT5kGxG3gzZodRZceGxLuFF9YzXujzVQhCzS', 10.0]
['7MhBEdUH9YQr1khYKG8h2pcDqVJ9HAcPNJXq1NTnXegM', 10.0]
['BJMFKWJwuWT13b56xLZEMj9KnY1f8GJ3yHdJEouieq5C', 10.0]
['FzDsHvJesgb3cGDT6rzCANq1QVKs3RhCkUXNHXn4eU9e', 10.0]
['FZGXimRQdtCdB6vogufGJM2nqWqTS81U6aq56iMTXxmK', 10.0]
['8xnmZS4pSEp1Hz7nesHfWSM3Mj11dTtGHWy7paRgxxX2', 10.0]
['GGP5uGjaUDVLT2YSQSQ84qNYXMzD22YEFE4SBXCuJnZE', 10.0]
['H2w63xvDxYty6V7nnqPCikNGaizM3pkqrWVJFGnkcUsT', 10.0]
['Ff4uAgoyvzTkgMEoyNnh3jR9soYaTJPzAibPwgGZ5xFM', 10.0]
['6LFohrMwh9WT76gFnvMBhzVf1xo8uPAXascqjL3mudXG', 10.0]
['DFcAgpvFCp2TiC6gkj9qQp54bxQTcynPxzdPgfF6wUFM', 10.0]
['5LwqMeKGUKAhs6iFy3tjwzg9CtafsJNdneWubdpxLVto', 10.0]
['AXMWRueQwoGFKrbpTfJDs2HncZy1Y46GPb7U1VUffrh7', 10.0]
['CY4BW1uX25PHtFzmQnhdr2z2PG38wEY7JRHebnk9mxNM', 10.0]
['Fgc1wuqcK4ufGbSt4F66m2SiXEPncApAhhAav9tpemhq', 10.0]
['CuszRYhq6G9WpjFSVW71P8cLZp77ijtQoJpJMexM5fXU', 10.0]
['4kqCVVYFFVx1yBhYhTBb2KFJ4wyZavAq5Qvgu1UpS3do', 10.0]
['CmSxTVXMFWcF9j1gjurzPELp4Edn7ixf9VmB5VT3LmMp', 10.0]
['5C2FTgv2Bc3weUqy2T11FcsZF1jn9nrcpDdq3UBxipQb', 10.0]
['FhE9v4dYfXWGLBLqdzyEN5DtLhwJaSeu8baiE8W6P1de', 10.0]
['D52qYMfaEN4qBqWwC18Kpr1CgYxF4QkVFPR7kLd2SfQu', 10.0]
['6CSCC4gt9G3bhX8TKsfRNykJ8zJZWGbwiTLa7tNiWqGx', 10.0]
['8iocaMgjVu6FMdrmgKhbtF8G51To2wJCW673mBSQrkGs', 10.0]
['BftwonbQLkNwoRRHcXdyA2n31XD6r6ug26DByp7hmwpf', 10.0]
['5ZVLdGzm5yNQrqY2fYpQ7eoKjWgcg1ubfiEq5wX1v2jg', 10.0]
['CSBaqJgBqzwm3inihriHC3ZfEvQkco87f6SUCQRJSM4K', 10.0]
['Fp58gRinBTtkBwWVsk8C2CSrM8CDRmTPKAQiFpHomBSE', 10.0]
['AcwXzPaVRNPVokQx3zeXVSGWPVJTyZCzzQ2MNkLi9wor', 10.0]
['AEm6J84mPoHwcJ86H3vM8ttHGjcPwPTAKfHMTJRh13Cf', 10.0]
['8jrBCaHERreRtQL1X5GzUpczEmVXBxNkjLDmsbDNE1JX', 10.0]
['6Y9z7zHpRcVcz2kFVh1ConoJAV9x8xM81ZsNJZz95SmG', 9.5]
['4eC2Y82GrD88mmvGsTEX6DEbJ6rBzdTYmYUduMYE4F3s', 9.491999999999999]
['CijB3mC9oLmjCrMGRyVWqCriKcrnV4BBWkgMJbKbNa2A', 9.4]
['BayrxPkpURe5hEM2PGta1g2oTAMM3uUp2GseYsrtLrW3', 9.0]
['FTUhQUYAZvvx948BPTWxgmJRsaavMDu5NYqCMLUGgoap', 9.0]
['BcrKAduumq5Jia6g7K4xZwkdrFb6FXd8aUCxPUCn73Nk', 9.0]
['DaRDL6RWqdHvCNYnomASSQKRKzBXdK9kwKsFMYytX4We', 9.0]
['GwqLKrHMM5cekG4fzspfnjNncXTnuAFM11Hh3imsuj6k', 9.0]
['FLpzzWUd8jAVgAMU4ENeukCAfteUMFd8LX691oVN83Cw', 9.0]
['7Tt1P3rkQBYnUGLC3JuFwnNYNDBEaAasD4q2qJEcRQNp', 9.0]
['HT7oPDpcuEMdbTKrDAfAkiMq43WYBmbC2x5S5LxerRnG', 9.0]
['6vzsHaWWCTK21bcrPhyWXYrUk316pFqdqNMBo2UkbLac', 8.6]
['9H7tpTaUtieKZG42wWSdzYtvDZstT2Na4iZZpWGLYYXB', 8.28]
['6EYpLA1zPcofkyF6V9HQ8vKzbbBS79tMgkebDrJWqbd3', 8.0]
